Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
0,0,0
0.01,-1.97942e-07,7.4864907
0.02,1.6615653e-06,122.89534
0.03,1.247041e-05,568.77924
0.04,3.843076e-05,1441.5648
0.05,8.099249e-05,2699.2024
0.06,0.00013818857,4278.3916
0.07,0.00020740055,6155.998
0.08,0.00028669846,8339.463
0.09,0.00037465023,10835.799
0.1,0.0004696085,13631.469
0.11,0.00056921464,16687.338
0.12,0.0006703166,19942.303
0.13,0.0007691865,23319.74
0.14,0.0008618549,26733.822
0.15,0.0009444305,30094.775
0.16,0.0010133516,33313.156
0.17,0.0010655667,36303.516
0.18,0.0010986651,38987.746
0.19,0.0011109747,41298.27
0.2,0.0011016381,43181.098
0.21,0.0010706682,44598.67
0.22,0.0010189804,45532.363
0.23,0.00094839616,45984.332
0.24,0.0008616081,45978.508
0.25,0.0007621681,45564.023
0.26,0.0006546111,44821.387
0.27,0.0005442355,43850.668
0.28,0.00043636965,42749.7
0.29,0.00033557764,41599.348
0.3,0.0002451728,40459.746
0.31,0.00016712732,39373.87
0.32,0.000102262755,38373.203
0.33,5.0545383e-05,37481.883
0.34,1.1357094e-05,36718.36
0.35,-1.6308391e-05,36095.1
0.36,-3.3715987e-05,35617.69
0.37,-4.2297408e-05,35284.176
0.38,-4.357307e-05,35085.22
0.39,-3.9077804e-05,35005.01
0.4,-3.0291281e-05,35022.785
0.41,-1.8577945e-05,35114.652
0.42,-5.140475e-06,35255.496
0.43,9.011724e-06,35420.79
0.44,2.3079338e-05,35588.125
0.45,3.647633e-05,35738.367
0.46,4.8820864e-05,35856.434
0.47,5.9915496e-05,35931.598
0.48,6.971866e-05,35957.48
0.49,7.831019e-05,35931.688
0.5,8.585383e-05,35855.266
0.51,9.256012e-05,35732.03
0.52,9.865249e-05,35567.83
0.53,0.000104338804,35369.832
0.54,0.000109789755,35145.89
0.55,0.000115124756,34903.918
0.56,0.000120405115,34651.45
0.57,0.00012563377,34395.24
0.58,0.00013076045,34140.992
0.59,0.0001356911,33893.207
0.6,0.00014029974,33655.082
0.61,0.00014444222,33428.54
0.62,0.00014796964,33214.313
0.63,0.00015074134,33012.082
0.64,0.00015263616,32820.668
0.65,0.00015356146,32638.25
0.66,0.00015345968,32462.588
0.67,0.00015231212,32291.234
0.68,0.00015014013,32121.758
0.69,0.00014700372,31951.896
0.7,0.00014299802,31779.709
0.71,0.00013824791,31603.666
0.72,0.00013290143,31422.709
0.73,0.00012712223,31236.271
0.74,0.00012108177,31044.262
0.75,0.00011495159,30847.016
0.76,0.000108896194,30645.236
0.77,0.00010306669,30439.9
0.78,9.759567e-05,30232.182
