Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
0,0,0
0.01,-1.9795073e-07,7.486366
0.02,1.6615807e-06,122.897156
0.03,1.24704475e-05,568.78
0.04,3.843078e-05,1441.5643
0.05,8.099248e-05,2699.202
0.06,0.00013818857,4278.392
0.07,0.00020740059,6156
0.08,0.00028669855,8339.465
0.09,0.00037465032,10835.801
0.1,0.00046960855,13631.47
0.11,0.0005692147,16687.34
0.12,0.00067031663,19942.305
0.13,0.00076918653,23319.742
0.14,0.0008618549,26733.824
0.15,0.0009444305,30094.777
0.16,0.0010133516,33313.156
0.17,0.0010655668,36303.52
0.18,0.0010986661,38987.766
0.19,0.0011109776,41298.33
0.2,0.0011016439,43181.22
0.21,0.0010706753,44598.832
0.22,0.0010189869,45532.516
0.23,0.0009484016,45984.473
0.24,0.00086161407,45978.715
0.25,0.0007621796,45564.44
0.26,0.0006546239,44821.816
0.27,0.0005442453,43851.047
0.28,0.00043637652,42750.08
0.29,0.00033558355,41599.78
0.3,0.00024518397,40460.348
0.31,0.00016714886,39375.047
0.32,0.00010226848,38374.652
0.33,5.052495e-05,37483.383
0.34,1.13133065e-05,36719.54
0.35,-1.6364766e-05,36095.844
0.36,-3.3779477e-05,35618.02
0.37,-4.2364223e-05,35284.14
0.38,-4.3639644e-05,35084.867
0.39,-3.9145136e-05,35004.38
0.4,-3.0375437e-05,35021.617
0.41,-1.8668288e-05,35113.07
0.42,-5.249839e-06,35253.14
0.43,8.908064e-06,35418.203
0.44,2.3007568e-05,35586.1
0.45,3.643203e-05,35736.902
0.46,4.87978e-05,35855.32
0.47,5.99187e-05,35930.996
0.48,6.975291e-05,35957.77
0.49,7.836833e-05,35933.05
0.5,8.592178e-05,35857.457
0.51,9.262534e-05,35734.8
0.52,9.870316e-05,35570.977
0.53,0.00010436485,35373.016
0.54,0.00010978551,35148.79
0.55,0.00011508911,34906.293
0.56,0.000120342535,34653.137
0.57,0.00012555244,34396.164
0.58,0.00013067074,34141.168
0.59,0.00013560388,33892.71
0.6,0.00014022447,33654.01
0.61,0.00014438764,33427.055
0.62,0.00014794242,33212.6
0.63,0.00015074546,33010.344
0.64,0.00015267103,32819.137
0.65,0.000153623,32637.102
0.66,0.00015355324,32461.846
0.67,0.00015243994,32290.969
0.68,0.00015029444,32122.096
0.69,0.00014717404,31952.904
0.7,0.00014317325,31781.395
0.71,0.00013841852,31606.031
0.72,0.00013304692,31425.518
0.73,0.00012722932,31239.256
0.74,0.00012114363,31047.168
0.75,0.000114966846,30849.643
0.76,0.00010886854,30647.441
0.77,0.00010300306,30441.621
0.78,9.750337e-05,30233.39
0.79,9.247994e-05,30024.053
0.8,8.801658e-05,29814.82
0.81,8.417275e-05,29606.938
0.82,8.098403e-05,29401.555
0.83,7.846267e-05,29199.738
0.84,7.659499e-05,29002.34
0.85,7.5343145e-05,28809.654
0.86,7.4650074e-05,28622.11
0.87,7.4454794e-05,28439.564
0.88,7.467181e-05,28261.838
0.89,7.5231925e-05,28088.492
0.9,7.60457e-05,27918.941
0.91,7.704398e-05,27752.621
0.92,7.814836e-05,27588.791
0.93,7.929714e-05,27426.818
0.94,8.043365e-05,27266.07
0.95,8.151122e-05,27105.97
0.96,8.249244e-05,26946.057
0.97,8.334794e-05,26785.898
0.98,8.405719e-05,26625.217
0.99,8.4607425e-05,26463.795
1,8.499306e-05,26301.537
1.01,8.519494e-05,26138.34
1.02,8.523604e-05,25974.385
1.03,8.514649e-05,25809.9
1.04,8.4923144e-05,25644.979
1.05,8.457774e-05,25479.852
1.06,8.412115e-05,25314.693
1.07,8.3561725e-05,25149.635
1.08,8.291255e-05,24984.875
1.09,8.219082e-05,24820.674
1.1,8.140933e-05,24657.209
1.11,8.057983e-05,24494.633
1.12,7.971387e-05,24333.072
1.13,7.882159e-05,24172.623
1.14,7.791207e-05,24013.35
1.15,7.6993565e-05,23855.285
1.16,7.607355e-05,23698.443
1.17,7.5158794e-05,23542.82
1.18,7.4255455e-05,23388.39
1.19,7.336925e-05,23235.123
1.2,7.250527e-05,23082.98
1.21,7.166764e-05,22931.924
1.22,7.086e-05,22781.918
1.23,7.008584e-05,22632.928
1.24,6.9348054e-05,22484.92
1.25,6.864872e-05,22337.87
1.26,6.798925e-05,22191.758
1.27,6.737033e-05,22046.57
1.28,6.679194e-05,21902.3
1.29,6.62533e-05,21758.947
1.3,6.5752974e-05,21616.506
1.31,6.52889e-05,21474.98
1.32,6.48584e-05,21334.373
1.33,6.445833e-05,21194.684
1.34,6.408512e-05,21055.91
1.35,6.373492e-05,20918.05
1.36,6.340365e-05,20781.102
1.37,6.308724e-05,20645.05
1.38,6.2781655e-05,20509.89
1.39,6.248296e-05,20375.605
1.4,6.218748e-05,20242.184
1.41,6.189181e-05,20109.605
1.42,6.159296e-05,19977.854
1.43,6.1288316e-05,19846.912
1.44,6.0975744e-05,19716.764
1.45,6.0653685e-05,19587.393
1.46,6.0321046e-05,19458.785
1.47,5.99772e-05,19330.93
1.48,5.9621925e-05,19203.816
1.49,5.925541e-05,19077.44
1.5,5.8878188e-05,18951.795
1.51,5.8491147e-05,18826.879
1.52,5.8095313e-05,18702.695
1.53,5.769189e-05,18579.242
1.54,5.7282246e-05,18456.525
1.55,5.6867822e-05,18334.549
1.56,5.645009e-05,18213.318
1.57,5.6030505e-05,18092.838
1.58,5.561047e-05,17973.113
1.59,5.5191296e-05,17854.15
1.6,5.4774187e-05,17735.955
1.61,5.4360196e-05,17618.527
1.62,5.3950243e-05,17501.871
1.63,5.3545096e-05,17385.986
1.64,5.314539e-05,17270.873
1.65,5.2751617e-05,17156.531
1.66,5.236413e-05,17042.959
1.67,5.198315e-05,16930.15
1.68,5.1608775e-05,16818.102
1.69,5.1241022e-05,16706.807
1.7,5.087978e-05,16596.262
1.71,5.0524908e-05,16486.457
1.72,5.0176146e-05,16377.391
1.73,4.983326e-05,16269.053
1.74,4.9495888e-05,16161.437
1.75,4.9163726e-05,16054.536
1.76,4.8836377e-05,15948.345
1.77,4.851349e-05,15842.857
1.78,4.8194674e-05,15738.065
1.79,4.787956e-05,15633.966
1.8,4.7567777e-05,15530.551
1.81,4.7258985e-05,15427.816
1.82,4.6952857e-05,15325.758
1.83,4.6649082e-05,15224.369
1.84,4.6347395e-05,15123.646
1.85,4.604753e-05,15023.585
1.86,4.574927e-05,14924.181
1.87,4.5452427e-05,14825.43
1.88,4.5156838e-05,14727.327
1.89,4.4862372e-05,14629.87
1.9,4.4568944e-05,14533.054
1.91,4.4276483e-05,14436.875
1.92,4.3984957e-05,14341.33
1.93,4.369436e-05,14246.414
1.94,4.3404707e-05,14152.125
1.95,4.3116037e-05,14058.459
1.96,4.2828404e-05,13965.412
1.97,4.2541884e-05,13872.98
1.98,4.2256554e-05,13781.162
1.99,4.1972522e-05,13689.952
2,4.1689873e-05,13599.349
2.01,4.140894e-05,13509.427
2.02,4.112973e-05,13420.14
2.03,4.085201e-05,13331.367
2.04,4.0576e-05,13243.159
2.05,4.0301835e-05,13155.534
2.06,4.0029598e-05,13068.493
2.07,3.975936e-05,12982.034
2.08,3.9491184e-05,12896.155
