environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
0,0,0
0.01,7.48649,-1.97942e-7
0.02,122.895,1.66157e-6
0.03,568.779,1.24704e-5
0.04,1441.56,3.84308e-5
0.05,2699.2,8.09925e-5
0.06,4278.39,0.000138189
0.07,6156,0.000207401
0.08,8339.46,0.000286698
0.09,10835.8,0.00037465
0.1,13631.5,0.000469608
0.11,16687.3,0.000569215
0.12,19942.3,0.000670317
0.13,23319.7,0.000769187
0.14,26733.8,0.000861855
0.15,30094.8,0.00094443
0.16,33313.2,0.00101335
0.17,36303.5,0.00106557
0.18,38987.7,0.00109867
0.19,41298.3,0.00111097
0.2,43181.1,0.00110164
0.21,44598.7,0.00107067
0.22,45532.4,0.00101898
0.23,45984.3,0.000948396
0.24,45978.5,0.000861608
0.25,45564,0.000762168
0.26,44821.4,0.000654611
0.27,43850.7,0.000544236
0.28,42749.7,0.00043637
0.29,41599.4,0.000335579
0.3,40459.8,0.000245174
0.31,39373.9,0.000167129
0.32,38373.2,0.000102264
0.33,37481.9,5.05469e-5
0.34,36718.4,1.13586e-5
0.35,36095.1,-1.6307e-5
0.36,35617.7,-3.37147e-5
0.37,35284.2,-4.22962e-5
0.38,35085.3,-4.3572e-5
0.39,35005.1,-3.90769e-5
0.4,35022.8,-3.02905e-5
0.41,35114.7,-1.85773e-5
0.42,35255.5,-5.13999e-6
0.43,35420.8,9.01209e-6
0.44,35588.2,2.30796e-5
0.45,35738.4,3.64765e-5
0.46,35856.5,4.8821e-5
0.47,35931.6,5.99155e-5
0.48,35957.5,6.97187e-5
0.49,35931.7,7.83101e-5
0.5,35855.3,8.58538e-5
0.51,35732.1,9.25601e-5
0.52,35567.9,9.86524e-5
0.53,35369.9,0.000104339
0.54,35145.9,0.00010979
0.55,34904,0.000115125
0.56,34651.5,0.000120405
0.57,34395.3,0.000125634
0.58,34141,0.000130761
0.59,33893.2,0.000135691
0.6,33655.1,0.0001403
